PSGC,GEOLEVEL,LGUNAME
0102820019,BGY,San Pedro
0102820020,BGY,San Rufino
0102820021,BGY,San Silvestre
0102820022,BGY,Santa Asuncion
0102820023,BGY,Santa Cecilia
0102820024,BGY,Santa Monica
0102821000,MUN,Sarrat
0102821001,BGY,San Agustin
0102821002,BGY,San Andres
0102821003,BGY,San Antonio
0102821004,BGY,San Bernabe
0102821005,BGY,San Cristobal
0102821006,BGY,San Felipe
0102821007,BGY,San Francisco
0102821008,BGY,San Isidro
0102821009,BGY,San Joaquin
0102821010,BGY,San Jose
0102821011,BGY,San Juan
0102821012,BGY,San Leandro
0102821014,BGY,San Lorenzo
0102821015,BGY,San Manuel
0102821016,BGY,San Marcos
0102821017,BGY,San Nicolas
0102821018,BGY,San Pedro
0102821019,BGY,San Roque
0102821020,BGY,San Vicente
0102821021,BGY,Santa Barbara
0102821022,BGY,Santa Magdalena
0102821023,BGY,Santa Rosa
0102821024,BGY,Santo Santiago
0102821025,BGY,Santo Tomas
0102822000,MUN,Solsona
0102822001,BGY,Aguitap
0102822002,BGY,Bagbag
0102822003,BGY,Bagbago
0102822004,BGY,Barcelona
0102822005,BGY,Bubuos
0102822006,BGY,Capurictan
0102822007,BGY,Catangraran
0102822008,BGY,Darasdas
0102822009,BGY,Juan
0102822010,BGY,Laureta
0102822011,BGY,Lipay
0102822012,BGY,Maananteng
0102822013,BGY,Manalpac
0102822014,BGY,Mariquet
0102822015,BGY,Nagpatpatan
0102822016,BGY,Nalasin
0102822017,BGY,Puttao
0102822018,BGY,San Juan
0102822019,BGY,San Julian
0102822020,BGY,Santa Ana
0102822021,BGY,Santiago
0102822022,BGY,Talugtog
0102823000,MUN,Vintar
0102823001,BGY,Abkir
0102823003,BGY,Alsem
0102823005,BGY,Bago
0102823010,BGY,Bulbulala
0102823011,BGY,Cabangaran
0102823012,BGY,Cabayo
0102823013,BGY,Cabisocolan
0102823014,BGY,Canaam
0102823015,BGY,Columbia
0102823016,BGY,Dagupan
0102823017,BGY,Pedro F. Alviar
0102823019,BGY,Dipilat
0102823022,BGY,Esperanza
0102823023,BGY,Ester
0102823024,BGY,Isic Isic
0102823027,BGY,Lubnac
0102823028,BGY,Mabanbanag
0102823030,BGY,Alejo Malasig
0102823031,BGY,Manarang
0102823033,BGY,Margaay
0102823035,BGY,Namoroc
0102823038,BGY,Malampa
0102823039,BGY,Parparoroc
0102823040,BGY,Parut
0102823047,BGY,Salsalamagui
0102823049,BGY,San Jose
0102823050,BGY,San Nicolas
0102823051,BGY,San Pedro
0102823052,BGY,San Ramon
0102823053,BGY,San Roque
0102823054,BGY,Santa Maria
0102823056,BGY,Tamdagan
0102823058,BGY,Visaya
0102900000,PROV,Ilocos Sur
0102901000,MUN,Alilem
0102901001,BGY,Alilem Daya
0102901002,BGY,Amilongan
